Patient,SSP.min.corToCMS1,SSP.min.corToCMS2,SSP.min.corToCMS3,SSP.min.corToCMS4,SSP.median.corToCMS1,SSP.median.corToCMS2,SSP.median.corToCMS3,SSP.median.corToCMS4,SSP.max.corToCMS1,SSP.max.corToCMS2,SSP.max.corToCMS3,SSP.max.corToCMS4,SSP.nearestCMS,SSP.predictedCMS
1,-0.041449832,-0.400322087,-0.440946165,0.575999958659121,0.0235622411512347,-0.298048275,-0.37552853,0.620211528180548,0.134321426184325,-0.23141899,-0.341268191,0.656625170050009,CMS4,CMS4
2,0.32180227811483,-0.263467325,0.217240648176705,-0.392815535,0.333304598914504,-0.206674477,0.290532858456795,-0.295985877,0.452199757301857,-0.108671013,0.353293744022559,-0.208731189,CMS1,CMS1
3,-0.123270703,0.0483212732226884,0.265351754070608,-0.335138204,-0.055427186,0.103036159750001,0.32992467025849,-0.302561892,-0.020734825,0.139632918472001,0.377312465712125,-0.202657409,CMS3,CMS3
4,0.0900912826854484,0.00999036161462042,0.0786172761580283,-0.428466528,0.123535868912998,0.0903228755052932,0.150848741995596,-0.347625499,0.228282649754642,0.13447035459902,0.22232667355664,-0.315608624,CMS1,NA
5,-0.063263755,0.0990178562553459,0.193197726303692,-0.464555295,0.0128674746588704,0.151276566796072,0.284228462350519,-0.404723955,0.0649840454590735,0.18174777670789,0.36057084800729,-0.358966439,CMS3,CMS3
6,0.0597037825817412,-0.427044321,-0.381022434,0.517318367952033,0.119727981337823,-0.347093544,-0.352421108,0.558789075097678,0.227716111118605,-0.297888177,-0.292769455,0.604588563868211,CMS4,CMS4
7,0.209561716140115,-0.391253303,-0.043014826,0.139204131374699,0.271801568591195,-0.361809824,0.021623782187348,0.16028328562129,0.311828256152369,-0.351209014,0.0564555023532483,0.260364899656321,CMS1,CMS1
8,0.121160145599863,-0.360122226,-0.138984068,0.224970369126415,0.184549285812483,-0.288352607,-0.088157679,0.253918832480021,0.209919548348823,-0.261992415,-0.066076184,0.345597752647422,CMS4,CMS4
9,0.0458963191920645,-0.175925333,0.144028794292047,-0.103225222,0.0785084174947423,-0.153201658,0.202865876054259,-0.036428636,0.130846726272907,-0.096293586,0.23641410208138,0.0196180955939712,CMS3,CMS3
10,-0.045305522,-0.042161348,0.142086382673668,-0.151118846,-0.006181713,-0.027071457,0.184095706277675,-0.114515533,0.0347582952761435,0.0376458816238921,0.223008620338006,-0.048213897,CMS3,CMS3
11,-0.064853777,-0.079076833,0.104006080706976,-0.064261315,-0.015949488,-0.06063029,0.143562510862371,-0.033665414,0.022688799246122,0.0171317504477155,0.172865106330824,0.0263406186988185,CMS3,NA
12,-0.05963743,0.0326233698115848,0.0722197370484646,-0.184445943,0.00733542554559167,0.0407515870317461,0.123084097568623,-0.160055854,0.0296603085814662,0.0951372837561931,0.16820654344709,-0.121966171,CMS3,NA
13,0.0462907105566602,-0.134318051,0.0581384666742163,-0.086112611,0.0740791835587907,-0.121404412,0.128927972513801,-0.035628421,0.12753451809699,-0.080299845,0.151142494577605,0.027023692712083,CMS3,NA
14,-0.064046216,-0.119646192,0.167663334318308,-0.074282148,-0.020555448,-0.085053915,0.214675156948397,-0.030250394,0.0184016063116555,-0.020763789,0.236296168380143,0.0288844952629392,CMS3,CMS3
15,0.00715308370729642,-0.112009675,0.101244938057075,-0.085938846,0.0556228403329149,-0.082868027,0.153635126986892,-0.046455029,0.0859892632328308,-0.034722286,0.187379309472189,0.00392068852520856,CMS3,CMS3
16,0.0343128774714107,-0.082616215,0.14971430883383,-0.207160441,0.0981101255690104,-0.055617845,0.194369764189046,-0.150852353,0.125183539443642,-0.017080302,0.250041308359388,-0.09596633,CMS3,CMS3
17,-0.01654193,-0.404823831,-0.408672225,0.558174408954683,0.0440761174121122,-0.321810283,-0.349140598,0.601620310609444,0.159141843165181,-0.253747403,-0.321761601,0.6411802605974,CMS4,CMS4
18,0.0895058433899276,-0.247306948,0.0853379176087436,0.00670296078942957,0.118659469474019,-0.198440563,0.135930805534012,0.0268309510939449,0.175638938318578,-0.186059719,0.151236582324636,0.115458960719773,CMS1,NA
19,0.240441377191127,-0.331858499,-0.079827765,0.0376867758266416,0.295257456866814,-0.30524898,0.0213920145686504,0.0846835433713776,0.30644210551362,-0.29354571,0.0505888241636107,0.18800917140485,CMS1,CMS1
20,-0.03693583,-0.151903813,0.122682419381222,-0.031708604,-0.008444205,-0.109544095,0.181686616845712,0.0125236345577796,0.0445149509674896,-0.053641616,0.192550792644783,0.061591471206157,CMS3,CMS3
21,0.10360483680118,-0.229101934,0.143246275401067,-0.101938826,0.140534113909934,-0.195839168,0.191898733700363,-0.053324002,0.196943319485269,-0.163532477,0.225620953869945,0.0395842567713358,CMS3,NA
22,0.0123409224481036,-0.177103452,0.0833785517823049,-0.03177758,0.0438294963490252,-0.144410529,0.140350248670396,0.0317853928167318,0.101504268253409,-0.079911733,0.156896115017526,0.0819943516380062,CMS3,NA
23,0.174418543217379,-0.370349525,-0.04224557,0.100768094049878,0.249177773954442,-0.307870372,0.0188478880442001,0.14868287844135,0.264301576526725,-0.291153271,0.0498335000567655,0.250033610011383,CMS1,CMS1
24,0.0124471193356771,-0.221083367,0.115679736955303,0.00215659408915597,0.0579420939950316,-0.167102363,0.153359546088458,0.0595848835072858,0.108456895070304,-0.128153343,0.168409368445827,0.116285737996822,CMS3,CMS3
